Fecha,Clics,Impresiones,CTR,Posición
2025-05-21,31.0,976.0,0.0318,41.3
2025-05-22,21.0,834.0,0.0252,40.4
2025-05-23,15.0,651.0,0.023,40.9
2025-05-24,3.0,597.0,0.005,42.7
2025-05-25,5.0,700.0,0.0070999999999999995,43.1
2025-05-26,33.0,844.0,0.0391,39.5
2025-05-27,42.0,787.0,0.053399999999999996,36.2
2025-05-28,22.0,762.0,0.028900000000000002,41.4
2025-05-29,38.0,820.0,0.0463,40.8
2025-05-30,19.0,722.0,0.0263,44.9
2025-05-31,3.0,740.0,0.0040999999999999995,46.5
2025-06-01,2.0,699.0,0.0029,44.9
2025-06-02,16.0,818.0,0.0196,39.5
2025-06-03,25.0,794.0,0.0315,40.3
2025-06-04,12.0,847.0,0.014199999999999999,39.0
2025-06-05,14.0,754.0,0.018600000000000002,42.9
2025-06-06,12.0,768.0,0.015600000000000001,43.7
2025-06-07,1.0,660.0,0.0015,45.6
2025-06-08,4.0,706.0,0.005699999999999999,45.8
2025-06-09,13.0,807.0,0.0161,40.5
2025-06-10,19.0,762.0,0.024900000000000002,38.3
2025-06-11,19.0,963.0,0.0197,39.2
2025-06-12,28.0,800.0,0.035,39.8
2025-06-13,9.0,646.0,0.0139,42.9
2025-06-14,2.0,524.0,0.0038,50.4
2025-06-15,7.0,597.0,0.011699999999999999,46.2
2025-06-16,19.0,680.0,0.0279,41.5
2025-06-17,22.0,621.0,0.0354,41.4
2025-06-18,8.0,620.0,0.0129,43.7
2025-06-19,20.0,491.0,0.0407,39.1
2025-06-20,20.0,555.0,0.036000000000000004,42.8
2025-06-21,7.0,559.0,0.0125,48.8
2025-06-22,6.0,625.0,0.0096,47.4
2025-06-23,23.0,664.0,0.0346,41.8
2025-06-24,19.0,663.0,0.0287,44.7
2025-06-25,16.0,572.0,0.027999999999999997,40.5
2025-06-26,10.0,573.0,0.0175,44.6
2025-06-27,12.0,557.0,0.0215,43.4
2025-06-28,2.0,474.0,0.0042,47.8
2025-06-29,2.0,503.0,0.004,50.3
2025-06-30,26.0,621.0,0.04190000000000001,40.3
2025-07-01,29.0,573.0,0.0506,44.5
2025-07-02,31.0,581.0,0.053399999999999996,39.6
2025-07-03,19.0,522.0,0.0364,46.9
2025-07-04,29.0,558.0,0.052000000000000005,40.5
2025-07-05,6.0,473.0,0.0127,46.1
2025-07-06,5.0,551.0,0.0091,49.4
2025-07-07,38.0,641.0,0.0593,38.7
2025-07-08,28.0,680.0,0.0412,41.6
2025-07-09,32.0,790.0,0.0405,42.4
2025-07-10,24.0,766.0,0.0313,43.6
2025-07-11,19.0,604.0,0.0315,41.3
2025-07-12,4.0,619.0,0.006500000000000001,46.9
2025-07-13,8.0,599.0,0.0134,48.3
2025-07-14,22.0,676.0,0.0325,38.9
2025-07-15,22.0,737.0,0.029900000000000003,43.7
2025-07-16,35.0,622.0,0.056299999999999996,39.3
2025-07-17,33.0,692.0,0.04769999999999999,36.7
2025-07-18,10.0,745.0,0.0134,40.8
2025-07-19,11.0,573.0,0.0192,45.2
2025-07-20,12.0,763.0,0.015700000000000002,38.0
2025-07-21,36.0,771.0,0.0467,40.9
2025-07-22,29.0,757.0,0.0383,40.3
2025-07-23,25.0,746.0,0.0335,42.0
2025-07-24,18.0,735.0,0.0245,43.1
2025-07-25,12.0,762.0,0.015700000000000002,44.1
2025-07-26,3.0,595.0,0.005,50.0
2025-07-27,6.0,677.0,0.0089,47.0
2025-07-28,14.0,764.0,0.0183,42.0
2025-07-29,24.0,794.0,0.0302,39.6
2025-07-30,19.0,794.0,0.0239,42.0
2025-07-31,20.0,793.0,0.0252,42.7
2025-08-01,15.0,728.0,0.0206,43.8
2025-08-02,1.0,723.0,0.0014000000000000002,46.4
2025-08-03,3.0,793.0,0.0038,42.6
2025-08-04,12.0,858.0,0.013999999999999999,39.9
2025-08-05,9.0,857.0,0.0105,41.9
2025-08-06,9.0,810.0,0.0111,41.8
2025-08-07,14.0,792.0,0.0177,42.3
2025-08-08,9.0,840.0,0.010700000000000001,37.2
2025-08-09,4.0,663.0,0.006,42.4
2025-08-10,0.0,696.0,0.0,43.1
2025-08-11,5.0,919.0,0.0054,39.6
2025-08-12,25.0,892.0,0.027999999999999997,33.9
2025-08-13,17.0,985.0,0.0173,39.5
2025-08-14,11.0,879.0,0.0125,39.2
2025-08-15,10.0,760.0,0.0132,40.0
2025-08-16,3.0,720.0,0.0042,41.6
2025-08-17,1.0,690.0,0.0014000000000000002,42.2
2025-08-18,13.0,853.0,0.0152,34.7
2025-08-19,11.0,911.0,0.0121,34.7
2025-08-20,17.0,875.0,0.0194,36.9
2025-08-21,10.0,857.0,0.011699999999999999,34.4
2025-08-22,8.0,768.0,0.0104,38.9
2025-08-23,1.0,836.0,0.0012,40.9
2025-08-24,4.0,760.0,0.0053,42.1
2025-08-25,14.0,823.0,0.017,37.9
2025-08-26,18.0,929.0,0.0194,38.7
2025-08-27,16.0,755.0,0.0212,38.4
2025-08-28,15.0,786.0,0.0191,41.7
2025-08-29,13.0,798.0,0.0163,41.5
2025-08-30,5.0,696.0,0.0072,42.7
2025-08-31,4.0,866.0,0.0046,44.3
2025-09-01,19.0,1022.0,0.018600000000000002,39.2
2025-09-02,25.0,904.0,0.0277,37.2
2025-09-03,18.0,818.0,0.022000000000000002,37.7
2025-09-04,15.0,870.0,0.0172,44.1
2025-09-05,9.0,931.0,0.0097,39.3
2025-09-06,5.0,757.0,0.0066,44.0
2025-09-07,0.0,766.0,0.0,46.4
2025-09-08,13.0,860.0,0.0151,39.3
2025-09-09,27.0,902.0,0.029900000000000003,36.2
2025-09-10,15.0,792.0,0.0189,35.6
2025-09-11,27.0,798.0,0.0338,32.2
2025-09-12,8.0,422.0,0.019,26.8
2025-09-13,2.0,179.0,0.011200000000000002,18.5
2025-09-14,10.0,167.0,0.0599,23.5
2025-09-15,19.0,383.0,0.0496,21.6
2025-09-16,13.0,378.0,0.0344,21.8
2025-09-17,19.0,381.0,0.0499,16.6
2025-09-18,13.0,246.0,0.0528,16.5
2025-09-19,11.0,254.0,0.0433,23.7
2025-09-20,2.0,193.0,0.0104,28.6
2025-09-21,4.0,233.0,0.0172,24.8
2025-09-22,12.0,347.0,0.0346,24.4
2025-09-23,13.0,423.0,0.030699999999999998,19.3
2025-09-24,17.0,366.0,0.0464,20.9
2025-09-25,20.0,368.0,0.054299999999999994,21.2
2025-09-26,10.0,289.0,0.0346,25.2
2025-09-27,2.0,263.0,0.0076,27.1
2025-09-28,3.0,294.0,0.0102,30.3
2025-09-29,21.0,467.0,0.045,22.4
2025-09-30,22.0,514.0,0.042800000000000005,22.6
2025-10-01,31.0,407.0,0.0762,23.9
2025-10-02,25.0,411.0,0.0608,22.1
2025-10-03,21.0,429.0,0.049,21.5
2025-10-04,5.0,326.0,0.015300000000000001,28.5
2025-10-05,3.0,320.0,0.009399999999999999,25.1
2025-10-06,19.0,410.0,0.0463,20.0
2025-10-07,24.0,495.0,0.048499999999999995,21.0
2025-10-08,21.0,431.0,0.0487,17.6
2025-10-09,14.0,431.0,0.0325,18.8
2025-10-10,21.0,355.0,0.0592,27.4
2025-10-11,4.0,226.0,0.0177,29.4
2025-10-12,8.0,287.0,0.0279,25.4
2025-10-13,22.0,474.0,0.0464,20.8
2025-10-14,20.0,465.0,0.043,19.0
2025-10-15,12.0,458.0,0.0262,19.2
2025-10-16,23.0,525.0,0.0438,22.4
2025-10-17,12.0,351.0,0.0342,21.8
2025-10-18,5.0,287.0,0.0174,24.8
2025-10-19,4.0,368.0,0.0109,29.3
2025-10-20,23.0,469.0,0.049,19.2
2025-10-21,23.0,496.0,0.0464,20.3
2025-10-22,19.0,479.0,0.0397,23.4
2025-10-23,16.0,444.0,0.036000000000000004,21.6
2025-10-24,16.0,404.0,0.039599999999999996,19.0
2025-10-25,3.0,306.0,0.0098,26.9
2025-10-26,2.0,288.0,0.0069,24.0
2025-10-27,18.0,511.0,0.0352,16.4
2025-10-28,12.0,496.0,0.0242,20.1
2025-10-29,21.0,537.0,0.0391,17.6
2025-10-30,22.0,633.0,0.0348,19.4
2025-10-31,9.0,500.0,0.018000000000000002,22.2
2025-11-01,0.0,336.0,0.0,23.7
2025-11-02,1.0,299.0,0.0033,23.3
2025-11-03,19.0,494.0,0.0385,19.6
2025-11-04,17.0,542.0,0.031400000000000004,14.9
2025-11-05,11.0,453.0,0.024300000000000002,15.6
2025-11-06,9.0,480.0,0.018799999999999997,19.1
2025-11-07,16.0,452.0,0.0354,18.3
2025-11-08,4.0,338.0,0.0118,22.1
2025-11-09,2.0,340.0,0.0059,23.4
2025-11-10,6.0,496.0,0.0121,16.4
2025-11-11,22.0,593.0,0.0371,13.7
2025-11-12,18.0,622.0,0.028900000000000002,15.3
2025-11-13,13.0,555.0,0.023399999999999997,14.7
2025-11-14,11.0,686.0,0.016,13.5
2025-11-15,4.0,377.0,0.0106,23.4
2025-11-16,4.0,442.0,0.009000000000000001,19.9
2025-11-17,15.0,456.0,0.0329,17.6
2025-11-18,17.0,563.0,0.0302,20.9
2025-11-19,16.0,530.0,0.0302,16.7
2025-11-20,11.0,526.0,0.0209,17.1
2025-11-21,36.0,744.0,0.0484,12.8
2025-11-22,5.0,287.0,0.0174,24.4
2025-11-23,4.0,327.0,0.012199999999999999,23.3
2025-11-24,15.0,514.0,0.0292,18.0
2025-11-25,17.0,494.0,0.0344,12.8
2025-11-26,14.0,416.0,0.0337,14.8
2025-11-27,12.0,434.0,0.0276,16.0
2025-11-28,8.0,330.0,0.0242,14.5
2025-11-29,6.0,291.0,0.0206,16.1
2025-11-30,2.0,282.0,0.0070999999999999995,22.4
2025-12-01,6.0,421.0,0.0143,14.5
2025-12-02,22.0,508.0,0.0433,13.8
2025-12-03,21.0,466.0,0.0451,18.2
2025-12-04,10.0,445.0,0.0225,17.3
2025-12-05,6.0,391.0,0.015300000000000001,22.2
2025-12-06,2.0,261.0,0.0077,25.6
2025-12-07,2.0,262.0,0.0076,29.3
2025-12-08,5.0,343.0,0.0146,21.6
2025-12-09,10.0,420.0,0.023799999999999998,20.3
2025-12-10,17.0,432.0,0.0394,22.7
2025-12-11,19.0,461.0,0.0412,20.0
2025-12-12,8.0,386.0,0.0207,24.7
2025-12-13,0.0,281.0,0.0,25.8
2025-12-14,3.0,380.0,0.0079,27.8
2025-12-15,14.0,553.0,0.0253,19.1
2025-12-16,20.0,447.0,0.0447,17.5
2025-12-17,19.0,440.0,0.0432,18.2
2025-12-18,14.0,422.0,0.0332,22.1
2025-12-19,12.0,342.0,0.0351,18.5
2025-12-20,5.0,250.0,0.02,21.5
2025-12-21,2.0,267.0,0.0075,23.8
2025-12-22,12.0,332.0,0.0361,20.9
2025-12-23,8.0,328.0,0.024399999999999998,16.2
2025-12-24,2.0,256.0,0.0078000000000000005,27.3
2025-12-25,2.0,215.0,0.009300000000000001,23.1
2025-12-26,4.0,266.0,0.015,16.5
2025-12-27,1.0,269.0,0.0037,20.1
2025-12-28,2.0,230.0,0.0087,19.6
2025-12-29,13.0,309.0,0.0421,14.9
2025-12-30,6.0,313.0,0.0192,21.0
2025-12-31,2.0,234.0,0.0085,23.1
2026-01-01,1.0,273.0,0.0037,27.0
2026-01-02,9.0,309.0,0.0291,18.8
2026-01-03,2.0,243.0,0.008199999999999999,24.2
2026-01-04,0.0,252.0,0.0,25.8
2026-01-05,6.0,461.0,0.013000000000000001,20.6
2026-01-06,2.0,310.0,0.006500000000000001,21.3
2026-01-07,7.0,352.0,0.0199,15.0
2026-01-08,16.0,475.0,0.0337,18.4
2026-01-09,9.0,491.0,0.0183,24.0
2026-01-10,0.0,278.0,0.0,28.0
2026-01-11,1.0,281.0,0.0036,25.7
2026-01-12,24.0,408.0,0.0588,17.8
2026-01-13,29.0,508.0,0.0571,14.7
2026-01-14,23.0,511.0,0.045,18.5
2026-01-15,11.0,419.0,0.0263,17.3
2026-01-16,13.0,406.0,0.032,17.2
2026-01-17,1.0,365.0,0.0027,21.6
2026-01-18,2.0,347.0,0.0058,22.0
2026-01-19,11.0,457.0,0.0241,20.3
2026-01-20,15.0,472.0,0.0318,18.5
2026-01-21,9.0,457.0,0.0197,17.6
2026-01-22,17.0,511.0,0.0333,21.0
2026-01-23,8.0,489.0,0.016399999999999998,19.2
2026-01-24,8.0,408.0,0.0196,22.7
2026-01-25,1.0,401.0,0.0025,23.2
2026-01-26,28.0,617.0,0.0454,20.6
2026-01-27,16.0,535.0,0.029900000000000003,17.9
2026-01-28,26.0,605.0,0.043,16.6
2026-01-29,29.0,535.0,0.0542,19.5
2026-01-30,10.0,508.0,0.0197,18.8
2026-01-31,2.0,349.0,0.005699999999999999,23.4
2026-02-01,25.0,456.0,0.0548,22.6
2026-02-02,18.0,537.0,0.0335,19.6
2026-02-03,37.0,404.0,0.0916,10.9
2026-02-04,18.0,403.0,0.0447,16.1
2026-02-05,21.0,478.0,0.043899999999999995,17.9
2026-02-06,17.0,359.0,0.047400000000000005,21.2
2026-02-07,8.0,276.0,0.028999999999999998,21.6
2026-02-08,6.0,316.0,0.019,23.6
2026-02-09,13.0,499.0,0.026099999999999998,19.8
2026-02-10,9.0,598.0,0.0151,17.5
2026-02-11,13.0,464.0,0.027999999999999997,17.2
2026-02-12,23.0,465.0,0.0495,19.7
2026-02-13,19.0,435.0,0.0437,19.2
2026-02-14,2.0,317.0,0.0063,23.6
2026-02-15,2.0,390.0,0.0051,20.1
2026-02-16,16.0,452.0,0.0354,16.2
2026-02-17,15.0,546.0,0.0275,15.1
2026-02-18,12.0,441.0,0.027200000000000002,16.1
2026-02-19,9.0,572.0,0.015700000000000002,17.6
2026-02-20,12.0,458.0,0.0262,14.4
2026-02-21,3.0,486.0,0.0062,14.4
2026-02-22,4.0,415.0,0.0096,17.1
2026-02-23,8.0,554.0,0.0144,12.9
2026-02-24,27.0,624.0,0.0433,13.8
2026-02-25,10.0,605.0,0.0165,16.8
2026-02-26,8.0,689.0,0.0116,15.6
2026-02-27,11.0,581.0,0.0189,15.9
2026-02-28,1.0,590.0,0.0017000000000000001,19.4
2026-03-01,2.0,610.0,0.0033,19.5
2026-03-02,9.0,917.0,0.0098,17.4
2026-03-03,13.0,880.0,0.0148,14.7
2026-03-04,12.0,671.0,0.0179,10.8
2026-03-05,16.0,924.0,0.0173,10.0
2026-03-06,24.0,823.0,0.0292,11.1
2026-03-07,15.0,710.0,0.021099999999999997,10.7
2026-03-08,5.0,726.0,0.0069,11.2
2026-03-09,34.0,688.0,0.049400000000000006,11.7
2026-03-10,37.0,668.0,0.0554,11.3
2026-03-11,30.0,631.0,0.0475,11.7
2026-03-12,24.0,650.0,0.0369,11.7
2026-03-13,19.0,568.0,0.0335,14.6
2026-03-14,6.0,537.0,0.011200000000000002,11.2
2026-03-15,4.0,359.0,0.0111,15.9
2026-03-16,27.0,558.0,0.0484,12.1
2026-03-17,34.0,587.0,0.0579,11.9
2026-03-18,25.0,675.0,0.037000000000000005,12.6
2026-03-19,27.0,691.0,0.0391,8.5
2026-03-20,24.0,569.0,0.042199999999999994,11.3
2026-03-21,4.0,447.0,0.0089,12.7
2026-03-22,8.0,420.0,0.019,13.3
2026-03-23,13.0,551.0,0.0236,10.4
2026-03-24,19.0,463.0,0.040999999999999995,10.3
2026-03-25,26.0,515.0,0.050499999999999996,9.1
2026-03-26,34.0,706.0,0.0482,9.2
2026-03-27,23.0,665.0,0.0346,9.3
2026-03-28,7.0,500.0,0.013999999999999999,11.5
2026-03-29,4.0,422.0,0.0095,13.6
2026-03-30,19.0,610.0,0.0311,10.2
2026-03-31,19.0,563.0,0.0337,10.2
2026-04-01,22.0,444.0,0.0495,12.8
2026-04-02,2.0,430.0,0.004699999999999999,13.1
2026-04-03,8.0,368.0,0.0217,13.5
2026-04-04,3.0,415.0,0.0072,13.5
2026-04-05,5.0,380.0,0.0132,17.1
2026-04-06,10.0,547.0,0.0183,15.4
2026-04-07,20.0,623.0,0.0321,12.5
2026-04-08,14.0,578.0,0.0242,11.5
2026-04-09,7.0,622.0,0.0113,12.0
2026-04-10,9.0,432.0,0.0208,12.5
2026-04-11,2.0,429.0,0.004699999999999999,13.8
2026-04-12,5.0,446.0,0.011200000000000002,12.7
2026-04-13,13.0,691.0,0.018799999999999997,9.5
2026-04-14,14.0,612.0,0.0229,11.1
2026-04-15,11.0,541.0,0.0203,10.9
2026-04-16,10.0,685.0,0.0146,11.2
2026-04-17,8.0,530.0,0.0151,12.0
2026-04-18,3.0,528.0,0.005699999999999999,14.2
2026-04-19,4.0,536.0,0.0075,16.3
2026-04-20,13.0,682.0,0.0191,12.9
2026-04-21,17.0,600.0,0.028300000000000002,12.4
2026-04-22,14.0,607.0,0.0231,11.3
2026-04-23,13.0,570.0,0.022799999999999997,14.3
2026-04-24,4.0,462.0,0.0087,12.4
2026-04-25,6.0,463.0,0.013000000000000001,13.1
2026-04-26,4.0,455.0,0.0088,16.9
2026-04-27,11.0,544.0,0.0202,12.6
2026-04-28,10.0,722.0,0.0139,13.0
2026-04-29,12.0,608.0,0.0197,13.9
2026-04-30,9.0,631.0,0.0143,11.5
2026-05-01,2.0,453.0,0.0044,12.4
2026-05-02,2.0,566.0,0.0034999999999999996,13.4
2026-05-03,4.0,613.0,0.006500000000000001,12.9
2026-05-04,18.0,677.0,0.026600000000000002,12.4
2026-05-05,14.0,781.0,0.0179,13.5
2026-05-06,12.0,704.0,0.017,12.9
2026-05-07,12.0,772.0,0.0155,11.7
2026-05-08,13.0,642.0,0.0202,13.8
2026-05-09,1.0,503.0,0.002,13.6
2026-05-10,2.0,601.0,0.0033,13.6
2026-05-11,20.0,768.0,0.026000000000000002,13.4
2026-05-12,8.0,752.0,0.0106,13.1
2026-05-13,13.0,699.0,0.018600000000000002,13.8
2026-05-14,19.0,724.0,0.0262,14.6
2026-05-15,9.0,567.0,0.0159,12.6
2026-05-16,4.0,409.0,0.0098,15.2
2026-05-17,6.0,414.0,0.014499999999999999,16.2
2026-05-18,9.0,710.0,0.0127,12.2
2026-05-19,7.0,517.0,0.013500000000000002,13.1
2026-05-20,15.0,675.0,0.0222,12.2
